"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.704650880E-1,8.207397461E-1,4.522399902E-1,9.451644897E0,9.497985366E0
5.728149420E-1,5.934143066E-1,4.067840576E-1,9.633499146E0,9.660327096E0
5.751342780E-1,3.373870850E-1,3.086700439E-1,9.863220215E0,9.873814878E0
5.774841310E-1,1.411743164E-1,1.579284668E-1,1.004028320E1,1.004251753E1
5.798034670E-1,4.785156250E-2,4.785156250E-2,1.005464172E1,1.005486945E1
5.821533200E-1,4.791259766E-3,-3.588867188E-2,9.958923340E0,9.958989158E0
5.845031740E-1,-1.914978027E-2,-1.052856445E-1,9.822540283E0,9.823123200E0
5.868225100E-1,-1.914978027E-2,-1.579284668E-1,9.784255981E0,9.785549204E0
5.891723630E-1,-5.024719238E-2,-1.770629883E-1,9.836898804E0,9.838620541E0
5.914916990E-1,-5.024719238E-2,-1.986083984E-1,9.934997559E0,9.937109568E0
5.938415530E-1,-1.914978027E-2,-2.057800293E-1,1.000679016E1,1.000892409E1
5.961914060E-1,-2.871704102E-2,-2.392883301E-1,1.002592468E1,1.002882093E1
5.985107420E-1,-7.177734375E-2,-2.943115234E-1,1.004507446E1,1.004964140E1
6.008605960E-1,-1.004943848E-1,-3.158569336E-1,1.001156616E1,1.001705155E1
6.031799320E-1,-4.307556152E-2,-3.062744141E-1,9.930221558E0,9.935036975E0
6.055297850E-1,2.871704102E-2,-2.895355225E-1,9.860824585E0,9.865116167E0
6.078796390E-1,4.785156250E-2,-2.608184814E-1,9.827316284E0,9.830893215E0
6.101989750E-1,5.024719238E-2,-2.344970703E-1,9.800994873E0,9.803928506E0
6.125488280E-1,1.052856445E-1,-2.081756592E-1,9.762710571E0,9.765497421E0
6.148986820E-1,1.363983154E-1,-1.794586182E-1,9.755538940E0,9.758142749E0
6.172180180E-1,1.674957275E-1,-1.722869873E-1,9.753143311E0,9.756102811E0
6.195678710E-1,1.794586182E-1,-1.531372070E-1,9.719650269E0,9.722512934E0
6.218872070E-1,1.938171387E-1,-1.459655762E-1,9.681365967E0,9.684405920E0
6.242370610E-1,1.746826172E-1,-1.722869873E-1,9.664611816E0,9.667725606E0
6.265869140E-1,1.483612061E-1,-1.651000977E-1,9.645462036E0,9.648015702E0
6.289062500E-1,1.100769043E-1,-1.579284668E-1,9.609573364E0,9.611501369E0
6.312561040E-1,8.853149414E-2,-1.555328369E-1,9.564117432E0,9.565791684E0
6.335754400E-1,8.375549316E-2,-1.411743164E-1,9.542572021E0,9.543983757E0
6.359252930E-1,4.977111816E-1,4.785156250E-2,9.317657471E0,9.331063548E0
6.382751470E-1,6.532440186E-1,1.316070557E-1,9.205184937E0,9.229272879E0
6.405944830E-1,4.187469482E-1,1.028900146E-1,9.446868896E0,9.456704886E0
6.429443360E-1,1.674957275E-1,4.785156250E-2,9.731613159E0,9.733172107E0
6.452636720E-1,2.153015137E-2,-8.375549316E-2,9.906280518E0,9.906657974E0
6.476135260E-1,-1.483612061E-1,-2.464599609E-1,9.990036011E0,9.994176957E0
6.499633790E-1,-2.416687012E-1,-3.780670166E-1,9.951751709E0,9.961862301E0
6.522827150E-1,-2.775726318E-1,-4.689941406E-1,9.872787476E0,9.887817485E0
6.546325690E-1,-2.775726318E-1,-5.001068115E-1,9.863220215E0,9.879790807E0
6.569519040E-1,-2.679901123E-1,-4.594268799E-1,9.915863037E0,9.930117398E0
6.593017580E-1,-2.368927002E-1,-3.972015381E-1,9.968505859E0,9.979228241E0
6.616516120E-1,-1.459655762E-1,-3.373870850E-1,9.975677490E0,9.982448466E0
6.639709470E-1,-5.264282227E-2,-2.536315918E-1,9.956542969E0,9.959912055E0
6.663208010E-1,4.307556152E-2,-2.057800293E-1,9.930221558E0,9.932446884E0
6.686706540E-1,4.785156250E-2,-1.555328369E-1,9.896713257E0,9.898050996E0
6.709899900E-1,4.785156250E-2,-1.579284668E-1,9.889541626E0,9.890918296E0
6.733398440E-1,4.785156250E-2,-1.555328369E-1,9.851257324E0,9.852601235E0
6.756591800E-1,4.547119141E-2,-1.842498779E-1,9.863220215E0,9.865045801E0
6.780090330E-1,4.547119141E-2,-2.177429199E-1,9.827316284E0,9.829833415E0
6.803283690E-1,3.349304199E-2,-2.344970703E-1,9.800994873E0,9.803856953E0
6.826782230E-1,3.588867188E-2,-2.249298096E-1,9.769897461E0,9.772552267E0
6.850280760E-1,2.871704102E-2,-2.368927002E-1,9.755538940E0,9.758456991E0
6.873474120E-1,3.111267090E-2,-2.440643311E-1,9.753143311E0,9.756246196E0
6.896972660E-1,3.349304199E-2,-2.249298096E-1,9.750747681E0,9.753399178E0
6.920471190E-1,4.067993164E-2,-2.129669189E-1,9.753143311E0,9.755552993E0
6.943664550E-1,4.307556152E-2,-1.938171387E-1,9.750747681E0,9.752768885E0
6.967163090E-1,3.588867188E-2,-1.770629883E-1,9.738784790E0,9.740460384E0
6.990356450E-1,3.349304199E-2,-1.627044678E-1,9.734008789E0,9.735426115E0
7.013854980E-1,9.567260742E-3,-1.292114258E-1,9.729217529E0,9.730080208E0
7.037353520E-1,-9.567260742E-3,-1.100769043E-1,9.738784790E0,9.739411566E0
7.060546880E-1,9.567260742E-3,-5.743408203E-2,9.712463379E0,9.712637906E0
7.084045410E-1,5.288085938E-1,1.914215088E-1,9.372680664E0,9.389537984E0
7.107238770E-1,3.565368652E-1,1.890258789E-1,9.446868896E0,9.455484190E0
7.130737310E-1,5.264282227E-2,1.052856445E-1,9.669403076E0,9.670119554E0
7.154235840E-1,-1.938171387E-1,2.153015137E-2,9.872787476E0,9.874713220E0
7.177429200E-1,-3.637084961E-1,-1.316070557E-1,9.942184448E0,9.949705317E0
7.200927740E-1,-3.637084961E-1,-2.584228516E-1,9.793823242E0,9.803980821E0
7.224121100E-1,-3.230285645E-1,-3.182525635E-1,9.693328857E0,9.703929951E0
7.247619630E-1,-2.560272217E-1,-3.493499756E-1,9.619140625E0,9.628886836E0
